edge,machineType,sensorId,min10,max90,median,avg,std
c05,AF,c05sncaf,2.73,2.85,2.79,2.7938,0.2675
c05,AP,c05sncap,2.14,2.32,2.23,2.2373,0.1551
c05,H,c05snch,6.25,7.16,6.89,6.7419,0.7376
c05,L,c05sncl,1.83,1.93,1.9,2.0217,1.1662
c05,V,c05sncv,0.9,0.97,0.93,0.9341,0.0413
c06,AC,c06sncac,8.69,9.52,8.98,9.056,0.3622
c06,AF,c06sncaf,3.15,3.38,3.26,3.2684,0.217
c06,AP,c06sncap,2.07,2.2,2.14,2.1369,0.0945
c06,H,c06snch,7.34,7.85,7.59,7.1355,1.7765
c06,L,c06sncl,2.54,2.75,2.65,2.6447,0.0787
c06,V,c06sncv,0.91,1.23,0.94,0.9799,0.1083
c07,AC,c07sncac,9.73,10.33,9.99,10.0248,0.4716
c07,AF,c07sncaf,3.24,4.393,3.35,3.4926,0.6179
c07,AP,c07sncap,2.14,2.32,2.24,2.2342,0.1426
c07,H,c07snch,6.68,7.31,7.03,6.9417,0.6043
c07,L,c07sncl,1.917,2.033,1.98,2.0971,1.0717
c07,V,c07sncv,0.92,1.01,0.96,0.9642,0.0432
c08,AC,c08sncac,9.46,10.01,9.73,9.7352,0.2143
c08,AF,c08sncaf,2.88,3.03,2.95,2.9553,0.1446
c08,AP,c08sncap,2.15,2.29,2.22,2.2218,0.0554
c08,H,c08snch,6.94,7.54,7.26,6.7985,1.7712
c08,L,c08sncl,2.14,2.24,2.2,2.1915,0.0501
c08,V,c08sncv,0.89,1.18,0.92,0.9559,0.1015
c09,AC,c09sncac,9.4,10.11,9.71,9.7354,0.2753
c09,AF,c09sncaf,3.93,4.24,4.08,4.079,0.1163
c09,AP,c09sncap,2.03,2.22,2.13,2.1286,0.0737
c09,H,c09snch,7.12,7.56,7.32,7.3101,0.4133
c09,L,c09sncl,1.94,2.09,2.02,2.0133,0.0703
c09,V,c09sncv,0.91,0.97,0.94,0.9443,0.0577
c10,AC,c10sncac,9.5,10.15,9.77,9.8015,0.2933
c10,AF,c10sncaf,3.2,3.34,3.26,3.264,0.0524
c10,AP,c10sncap,2.07,2.17,2.12,2.1222,0.0368
c10,H,c10snch,5.66,6.87,6.6,6.2675,1.2322
c10,L,c10sncl,2.324,2.468,2.41,2.403,0.0571
c10,V,c10sncv,0.91,0.98,0.94,0.9513,0.0986
c11,AC,c11sncac,9.79,10.4,10.07,10.087,0.3132
c11,AF,c11sncaf,3.57,3.77,3.66,3.6699,0.212
c11,AP,c11sncap,2.13,2.24,2.18,2.1847,0.0987
c11,H,c11snch,6.29,6.72,6.5,6.4933,0.3836
c11,L,c11sncl,2.16,2.317,2.23,2.2608,0.4331
c11,V,c11sncv,0.91,0.97,0.94,0.9392,0.0534
c12,AC,c12sncac,10.66,11.53,11.01,11.055,0.3586
c12,AF,c12sncaf,3.06,3.18,3.12,3.1411,0.4881
c12,AP,c12sncap,2.02,2.11,2.06,2.0618,0.0448
c12,H,c12snch,7.15,7.64,7.37,7.182,1.2416
c12,L,c12sncl,2.25,2.357,2.3,2.2981,0.0756
c12,V,c12sncv,0.9,0.96,0.92,0.9314,0.1012
c13,AC,c13sncac,9.06,9.71,9.37,9.3761,0.3191
c13,AF,c13sncaf,3.26,3.41,3.33,3.3422,0.3912
c13,AP,c13sncap,2.15,2.26,2.21,2.2102,0.1067
c13,H,c13snch,6.75,7.19,6.95,6.8935,0.6956
c13,L,c13sncl,2.26,2.48,2.36,2.3633,0.0825
c13,V,c13sncv,0.89,0.95,0.91,0.9188,0.0383
c14,AC,c14sncac,9.45,10.49,9.79,9.8722,0.4999
c14,AF,c14sncaf,3.1,3.23,3.16,3.1685,0.1829
c14,AP,c14sncap,2.12,2.26,2.19,2.1931,0.0981
c14,H,c14snch,7.05,7.48,7.26,6.99,1.3965
c14,L,c14sncl,2.486,2.75,2.65,2.6387,0.0942
c14,V,c14sncv,0.91,1.0,0.94,0.9562,0.0603
c15,AC,c15sncac,9.666,10.414,10.06,10.0485,0.424
c15,AF,c15sncaf,3.39,3.6,3.5,3.5013,0.1513
c15,AP,c15sncap,2.08,2.19,2.14,2.1397,0.1032
c15,H,c15snch,7.23,7.71,7.45,7.3769,0.771
c15,L,c15sncl,1.8,1.94,1.87,1.872,0.0573
c15,V,c15sncv,0.89,0.94,0.91,0.9161,0.0335
c16,AC,c16sncac,9.4,10.21,9.88,9.8412,0.3012
c16,AF,c16sncaf,3.37,3.53,3.45,3.4498,0.0635
c16,AP,c16sncap,2.12,2.23,2.18,2.1749,0.0456
c16,H,c16snch,7.43,7.88,7.65,7.5253,0.9853
c16,L,c16sncl,2.22,2.37,2.3,2.2922,0.0694
c16,V,c16sncv,0.91,0.96,0.93,0.9325,0.035
c17,AC,c17sncac,8.88,9.69,9.3,9.2907,0.3148
c17,AF,c17sncaf,3.2,3.38,3.29,3.2899,0.185
c17,AP,c17sncap,2.08,2.2,2.14,2.14,0.052
