edge,machineType,sensorId,min10,max90,median,avg,std
e11,AP,e11sncap,2.61,2.67,2.64,2.631,0.0864
e11,H,e11snch,7.0,7.544,7.23,7.252,0.213
e11,L,e11sncl,2.37,2.37,2.37,2.37,0.0
e11,V,e11sncv,0.47,0.49,0.475,0.478,0.019
e12,AC,e12sncac,10.177,10.573,10.33,10.4978,1.2046
e12,AF,e12sncaf,3.72,3.92,3.8,3.8891,0.6463
e12,AP,e12sncap,2.607,2.653,2.63,2.7037,0.6217
e12,L,e12sncl,2.57,2.724,2.63,2.6411,0.0621
e12,V,e12sncv,0.486,0.514,0.5,0.4978,0.0123
e13,AC,e13sncac,9.463,9.809,9.635,9.6226,0.1541
e13,AF,e13sncaf,3.87,4.037,3.92,3.9324,0.063
e13,AP,e13sncap,2.49,2.54,2.52,2.5145,0.0213
e13,L,e13sncl,2.42,2.546,2.5,2.4918,0.0523
e13,V,e13sncv,0.77,0.8,0.78,0.7822,0.0115
e14,AC,e14sncac,9.93,10.31,10.13,10.1131,0.1447
e14,AF,e14sncaf,3.52,3.66,3.59,3.5961,0.0598
e14,AP,e14sncap,2.46,2.53,2.51,2.5046,0.0247
e14,L,e14sncl,2.47,2.59,2.52,2.5245,0.0427
e14,V,e14sncv,0.305,0.32,0.31,0.3138,0.0079
e15,AC,e15sncac,9.24,9.708,9.46,9.466,0.1788
e15,AF,e15sncaf,3.34,3.46,3.4,3.4036,0.0503
e15,AP,e15sncap,2.46,2.53,2.51,2.4997,0.0293
e15,H,e15snch,7.21,7.54,7.34,7.3643,0.1413
e15,L,e15sncl,2.229,2.301,2.265,2.265,0.045
e15,V,e15sncv,0.74,0.79,0.76,0.76,0.0164
e16,AC,e16sncac,9.11,9.53,9.32,9.3196,0.1737
e16,AF,e16sncaf,3.18,3.3,3.24,3.2473,0.3471
e16,AP,e16sncap,2.43,2.48,2.46,2.4551,0.0263
e16,H,e16snch,6.08,6.33,6.18,6.1966,0.1167
e16,L,e16sncl,2.27,2.27,2.27,2.27,0.0
e16,V,e16sncv,0.74,0.77,0.75,0.7532,0.0136
e17,AC,e17sncac,9.71,10.008,9.85,9.8539,0.1295
e17,AF,e17sncaf,3.38,3.538,3.43,3.4436,0.0605
e17,AP,e17sncap,2.51,2.56,2.53,2.5318,0.0219
e17,H,e17snch,7.63,8.435,8.115,8.0742,0.3139
e17,V,e17sncv,0.74,0.77,0.75,0.7539,0.0144
e19,AC,e19sncac,9.795,10.075,9.915,9.9266,0.1285
e19,AF,e19sncaf,3.82,4.0,3.87,3.8948,0.0723
e19,AP,e19sncap,2.545,2.62,2.59,2.588,0.0273
e19,L,e19sncl,2.4,2.52,2.46,2.4545,0.0472
e19,V,e19sncv,0.76,0.78,0.77,0.7706,0.0109
e20,AC,e20sncac,9.659,10.041,9.87,9.8535,0.1476
e20,AF,e20sncaf,3.606,3.76,3.68,3.7047,0.2891
e20,AP,e20sncap,2.51,2.55,2.53,2.5301,0.017
e20,L,e20sncl,2.227,2.41,2.32,2.3206,0.0723
e20,V,e20sncv,0.95,0.98,0.96,0.9757,0.1708
f01,AC,f01sncac,9.623,9.899,9.74,9.754,0.1164
f01,AF,f01sncaf,3.972,4.13,4.05,4.0545,0.0804
f01,AP,f01sncap,2.371,2.44,2.41,2.4073,0.034
f01,L,f01sncl,0.88,4.94,1.05,2.3916,1.8483
f01,V,f01sncv,0.28,0.38,0.29,0.3135,0.0414
f02,AC,f02sncac,9.56,9.924,9.74,9.7349,0.1433
f02,AF,f02sncaf,3.728,3.902,3.8,3.811,0.0674
f02,AP,f02sncap,1.67,1.72,1.7,1.6957,0.019
f02,L,f02sncl,0.92,0.966,0.94,0.9375,0.0183
f02,V,f02sncv,0.3,0.39,0.33,0.3392,0.039
f03,AC,f03sncac,9.18,9.61,9.46,9.4138,0.1803
f03,AF,f03sncaf,3.55,3.719,3.615,3.6688,0.3889
f03,AP,f03sncap,2.541,2.62,2.59,2.6562,0.5792
f03,H,f03snch,6.444,6.764,6.585,6.5903,0.1319
f03,L,f03sncl,1.24,5.24,1.28,2.8688,1.9285
f03,V,f03sncv,0.28,0.37,0.29,0.309,0.0347
f04,AC,f04sncac,9.549,9.93,9.765,9.7522,0.1449
f04,AF,f04sncaf,3.688,3.871,3.765,3.7673,0.068
f04,AP,f04sncap,2.61,2.68,2.66,2.652,0.0281
f04,L,f04sncl,1.09,1.15,1.13,1.1253,0.0215
f04,V,f04sncv,0.3,0.385,0.315,0.3341,0.0356
f05,AC,f05sncac,8.73,9.11,8.89,8.9147,0.1579
f05,AF,f05sncaf,4.332,4.54,4.42,4.4292,0.0798
f05,AP,f05sncap,2.732,2.788,2.76,2.757,0.0295
f05,H,f05snch,8.29,9.42,8.83,8.4793,1.6404
f05,L,f05sncl,5.411,5.479,5.46,5.4517,0.0441
f05,V,f05sncv,0.28,0.336,0.29,0.287,0.055
f06,AC,f06sncac,10.036,10.34,10.19,10.193,0.1351
f06,AF,f06sncaf,3.82,3.93,3.87,3.8688,0.0506
f06,AP,f06sncap,2.48,2.54,2.52,2.5151,0.0245
f06,H,f06snch,7.458,7.872,7.69,7.3813,1.4834
f06,L,f06sncl,0.574,0.61,0.6,0.5953,0.0141
f06,V,f06sncv,0.246,0.37,0.29,0.2953,0.0491
f07,AC,f07sncac,9.36,9.883,9.575,9.6,0.1925
f07,AF,f07sncaf,3.54,3.71,3.6,3.6134,0.0624
f07,AP,f07sncap,2.509,2.58,2.55,2.5473,0.0315
f07,H,f07snch,0.68,7.07,6.92,5.798,2.4338
f07,L,f07sncl,5.192,5.354,5.25,4.9538,1.0966
f07,V,f07sncv,0.3,0.372,0.3,0.3251,0.0321
f08,AC,f08sncac,9.19,9.674,9.46,9.4502,0.2053
f08,AP,f08sncap,2.67,2.72,2.69,2.6966,0.0222
f08,H,f08snch,7.624,8.03,7.84,7.7623,0.7718
f08,V,f08sncv,0.29,0.349,0.29,0.2975,0.038
f09,AC,f09sncac,9.038,9.628,9.31,9.3193,0.2308
f09,AF,f09sncaf,3.91,4.136,3.99,4.0025,0.0811
f09,AP,f09sncap,2.55,2.61,2.58,2.5796,0.0265
f09,H,f09snch,1.014,8.942,8.68,7.6599,2.6466
f09,V,f09sncv,0.246,0.38,0.29,0.2978,0.058
f10,AC,f10sncac,9.197,9.73,9.485,9.4822,0.1958
f10,AF,f10sncaf,3.35,3.443,3.385,3.3949,0.0388
f10,AP,f10sncap,2.34,2.4,2.37,2.3716,0.0217
f10,H,f10snch,7.172,8.23,7.93,7.3028,2.1572
f10,V,f10sncv,0.29,0.4,0.31,0.3156,0.0684
f11,AC,f11sncac,9.289,9.591,9.41,9.5104,0.828
f11,AF,f11sncaf,3.968,4.17,4.05,4.0654,0.0899
f11,AP,f11sncap,2.638,2.7,2.67,2.6671,0.0264
f11,H,f11snch,7.692,8.168,7.96,7.9419,0.1868
f11,L,f11sncl,2.32,2.32,2.32,2.32,0.0
f11,V,f11sncv,0.31,0.34,0.32,0.3256,0.0243
f12,AC,f12sncac,9.226,9.527,9.33,9.3595,0.1204
f12,AF,f12sncaf,3.76,3.91,3.82,3.8286,0.0669
f12,AP,f12sncap,2.6,2.64,2.62,2.6212,0.0168
f12,H,f12snch,0.683,7.769,7.455,6.6194,2.3323
f12,V,f12sncv,0.29,0.4,0.3,0.3213,0.0595
f13,AC,f13sncac,10.082,10.46,10.24,10.2463,0.1451
f13,AF,f13sncaf,3.89,4.11,3.97,3.9782,0.0782
f13,AP,f13sncap,2.57,2.63,2.61,2.6038,0.0227
f13,H,f13snch,6.74,7.25,7.0,6.8568,0.7946
f13,L,f13sncl,3.08,3.08,3.08,3.08,0.0
f13,V,f13sncv,0.32,0.34,0.33,0.3296,0.0102
f14,AC,f14sncac,8.827,9.38,9.12,9.102,0.23
f14,AF,f14sncaf,3.18,3.3,3.23,3.2338,0.0502
f14,AP,f14sncap,2.54,2.6,2.57,2.5702,0.031
